combo,spearman,countries,num_countries
"['Wheat flour', 'Sugar']",0.1714464404449499,"['Armenia', 'Azerbaijan', 'Colombia', 'Democratic Republic of the Congo', 'Djibouti', 'Egypt', 'India', 'Iraq', 'Lebanon', 'Madagascar', 'Pakistan', 'Sri Lanka', 'Syrian Arab Republic', 'Turkey', 'Yemen']",15
"['Wheat flour', 'Lentils']",0.4585094101727344,"['Armenia', 'Egypt', 'India', 'Lebanon', 'Syrian Arab Republic', 'Turkey', 'Yemen']",7
"['Wheat flour', 'Pasta']",0.37284016813259935,"['Armenia', 'Colombia', 'Djibouti', 'Egypt', 'Lebanon', 'Turkey']",6
"['Wheat flour', 'Tomatoes']",-0.30205981932565906,"['Armenia', 'Colombia', 'Egypt', 'India', 'Rwanda', 'Syrian Arab Republic', 'Turkey', 'Yemen']",8
"['Wheat flour', 'Rice (white)']",-0.45582110347127974,"['Armenia', 'Colombia']",2
"['Wheat flour', 'Meat (beef)']",0.043274911523679585,"['Armenia', 'Colombia', 'Congo', 'Democratic Republic of the Congo', 'Egypt', 'Rwanda']",6
"['Wheat flour', 'Onions']",-0.1235971573230681,"['Armenia', 'India', 'Turkey', 'Yemen']",4
"['Wheat flour', 'Apples (red)']",0.36954563006821983,"['Armenia', 'Colombia', 'Rwanda', 'Turkey']",4
"['Wheat flour', 'Fish (fresh)']",0.1561941090804833,"['Armenia', 'Congo', 'Democratic Republic of the Congo', 'Turkey']",4
"['Wheat flour', 'Rice (coarse)']",0.20205777392262664,"['Bangladesh', 'Pakistan']",2
"['Wheat flour', 'Lentils (masur)']",-0.3124099477344131,"['Bangladesh', 'India', 'Pakistan']",3
"['Wheat flour', 'Oil (palm)']",0.0010940685117255544,"['Bangladesh', 'Congo', 'Democratic Republic of the Congo', 'India']",4
"['Wheat flour', 'Rice (imported)']",0.30005152279967445,"['Democratic Republic of the Congo', 'Djibouti', 'Somalia', 'Yemen']",4
"['Wheat flour', 'Sorghum']",0.11013942077245359,['Rwanda'],1
"['Wheat flour', 'Maize']",0.28607644707392926,"['Central African Republic', 'Democratic Republic of the Congo', 'Rwanda']",3
"['Wheat flour', 'Rice (long grain)']",0.42029364318280754,"['Cape Verde', 'Sri Lanka']",2
"['Wheat flour', 'Rice']",0.3551557835483954,"['Central African Republic', 'Egypt', 'India', 'Iraq', 'Rwanda', 'Swaziland', 'Syrian Arab Republic', 'Turkey']",8
"['Wheat flour', 'Beans']",0.5058050026263956,['Democratic Republic of the Congo'],1
"['Wheat flour', 'Cassava flour']",0.2483161495890299,"['Congo', 'Democratic Republic of the Congo', 'Rwanda']",3
"['Wheat flour', 'Sweet potatoes']",0.16124862814294655,"['Democratic Republic of the Congo', 'Rwanda']",2
"['Wheat flour', 'Rice (local)']",0.2539260143968821,"['Democratic Republic of the Congo', 'Madagascar', 'Rwanda']",3
"['Wheat flour', 'Groundnuts (shelled)']",-0.48480752300881236,"['Congo', 'Democratic Republic of the Congo', 'Rwanda', 'South Sudan', 'Turkey']",5
"['Wheat flour', 'Sorghum (white)']",0.38070274936358645,['South Sudan'],1
"['Wheat flour', 'Cassava (cossette)']",0.4156469429791971,"['Central African Republic', 'Democratic Republic of the Congo']",2
"['Wheat flour', 'Oil (groundnut)']",-0.10497173117271935,"['Central African Republic', 'India']",2
"['Wheat flour', 'Maize flour']",-0.36158678163567176,"['Colombia', 'Democratic Republic of the Congo', 'Georgia', 'Rwanda']",4
"['Wheat flour', 'Beans (red)']",-0.16765548866948846,"['Colombia', 'South Sudan']",2
"['Wheat flour', 'Onions (red)']",0.42416334998059807,"['Colombia', 'Egypt', 'Rwanda']",3
"['Wheat flour', 'Plantains']",0.12218736514827375,"['Colombia', 'Congo', 'Democratic Republic of the Congo']",3
"['Wheat flour', 'Salt']",0.40505773354326063,"['Colombia', 'Democratic Republic of the Congo', 'Lebanon', 'Pakistan', 'Swaziland', 'Turkey', 'Yemen']",7
"['Wheat flour', 'Chickpeas (imported)']",0.05616243461739545,['Colombia'],1
"['Wheat flour', 'Meat (beef, minced)']",-0.46803146736324147,"['Colombia', 'Syrian Arab Republic']",2
"['Wheat flour', 'Peas (green, dry)']",-0.5839743888528361,['Colombia'],1
"['Wheat flour', 'Sugar (brown)']",0.48944323648659904,"['Colombia', 'Swaziland']",2
"['Wheat flour', 'Bananas']",-0.3273234367104114,"['Colombia', 'Rwanda', 'Turkey']",3
"['Wheat flour', 'Cassava (dry)']",0.4620460914233329,"['Colombia', 'South Sudan']",2
"['Wheat flour', 'Spinach']",-0.05384347982009814,"['Colombia', 'Lebanon', 'Rwanda']",3
"['Wheat flour', 'Papaya']",0.23999015962511203,"['Colombia', 'Rwanda']",2
"['Wheat flour', 'Mangoes']",-0.432200664804194,"['Colombia', 'Rwanda']",2
"['Wheat flour', 'Milk (pasteurized)']",0.5546634966380654,"['Colombia', 'India', 'Turkey']",3
"['Wheat flour', 'Oil (sunflower)']",-0.12213860407697465,"['Colombia', 'Egypt', 'India', 'Lebanon', 'Lesotho', 'Swaziland', 'Turkey']",7
"['Wheat flour', 'Fish (smoked)']",0.4276379212314876,"['Congo', 'Democratic Republic of the Congo']",2
"['Wheat flour', 'Fish (salted)']",0.14346113857175716,"['Congo', 'Democratic Republic of the Congo']",2
"['Wheat flour', 'Maize meal']",-0.12730893304292148,"['Democratic Republic of the Congo', 'Lesotho', 'Swaziland']",3
"['Wheat flour', 'Cassava']",0.023668632772274045,"['Democratic Republic of the Congo', 'Rwanda', 'South Sudan']",3
"['Wheat flour', 'Meat (goat, with bones)']",0.24205362488646226,['Democratic Republic of the Congo'],1
"['Wheat flour', 'Cassava (chikwangue)']",-0.08946076899929156,['Democratic Republic of the Congo'],1
"['Wheat flour', 'Livestock (Goat)']",0.43558396921114806,['Rwanda'],1
"['Wheat flour', 'Livestock (Sheep)']",0.3492444967843848,['Rwanda'],1
"['Wheat flour', 'Tea']",0.518910829611409,"['Syrian Arab Republic', 'Turkey']",2
"['Wheat flour', 'Potatoes (Irish)']",0.28663842538374873,['Rwanda'],1
"['Wheat flour', 'Beans (dry)']",-0.09952441788027629,['Rwanda'],1
"['Wheat flour', 'Oil (mustard)']",0.037838047318107,['India'],1
"['Wheat flour', 'Salt (iodised)']",0.40379139524865726,['India'],1
"['Wheat flour', 'Bulgur']",0.4246684800386355,"['Lebanon', 'Turkey']",2
"['Wheat flour', 'Bread (brown)']",0.4061286522045746,['Lesotho'],1
"['Wheat flour', 'Peas (split, dry)']",0.3882792142069052,['Lesotho'],1
"['Wheat flour', 'Beans (sugar-red)']",0.3748916316948828,['Lesotho'],1
"['Wheat flour', 'Oil (cooking)']",0.3963269556157165,['Pakistan'],1
"['Wheat flour', 'Ghee (artificial)']",0.39649808072376463,"['Egypt', 'Pakistan']",2
"['Wheat flour', 'Rice (basmati, broken)']",-0.2966653452793466,['Pakistan'],1
"['Wheat flour', 'Sorghum flour']",-0.10357168185905286,['Rwanda'],1
"['Wheat flour', 'Peppers (green)']",-0.0738928402405652,['Rwanda'],1
"['Wheat flour', 'Eggplants']",-0.32518642866031106,"['Rwanda', 'Turkey']",2
"['Wheat flour', 'Passion fruit']",-0.3529213338518592,['Rwanda'],1
"['Wheat flour', 'Zucchini']",0.09781755059811419,['Rwanda'],1
"['Wheat flour', 'Avocados']",0.032577519449442344,['Rwanda'],1
"['Wheat flour', 'Cassava leaves']",0.41661295340170806,['Rwanda'],1
"['Wheat flour', 'Peas (fresh)']",-0.128278804161634,['Rwanda'],1
"['Wheat flour', 'Meat (goat)']",0.4662122561176847,['Rwanda'],1
"['Wheat flour', 'Beans (green, fresh)']",0.3277185003302708,['Rwanda'],1
"['Wheat flour', 'Oil']",0.24666656198279405,['Syrian Arab Republic'],1
"['Wheat flour', 'Bread (bakery)']",-0.08367689184867422,['Syrian Arab Republic'],1
"['Wheat flour', 'Bread (shop)']",0.4440574801913196,['Syrian Arab Republic'],1
"['Wheat flour', 'Bread (common)']",0.5022861298199652,['Turkey'],1
"['Wheat flour', 'Beans (kidney red)']",0.382322440327289,['Yemen'],1
"['Milk', 'Potatoes']",0.28386114698247894,"['Armenia', 'Guatemala', 'Tajikistan', 'Ukraine']",4
"['Milk', 'Eggs']",0.3175639536451405,"['Armenia', 'Gambia', 'Guatemala', 'Pakistan', 'Rwanda', 'Tajikistan', 'Ukraine']",7
"['Milk', 'Oil (vegetable)']",0.5592121243114574,"['Armenia', 'Gambia', 'Guatemala', 'Tajikistan']",4
"['Milk', 'Sugar']",0.20746887037983014,"['Armenia', 'Gambia', 'Guatemala', 'Pakistan', 'Tajikistan', 'Ukraine']",6
"['Milk', 'Pasta']",0.3066649379599637,"['Armenia', 'Guatemala', 'Ukraine']",3
"['Milk', 'Meat (beef)']",-0.008877219872688566,"['Armenia', 'Gambia', 'Rwanda', 'Tajikistan', 'Ukraine']",5
"['Milk', 'Carrots']",0.1986926370365758,"['Armenia', 'Gambia', 'Rwanda', 'Tajikistan', 'Ukraine']",5
"['Milk', 'Cabbage']",0.2644919131886579,"['Armenia', 'Gambia', 'Rwanda', 'Tajikistan', 'Ukraine']",5
"['Milk', 'Rice']",0.32217976705310897,"['Rwanda', 'Tajikistan', 'Ukraine']",3
"['Milk', 'Salt']",0.06265598465170129,"['Gambia', 'Guatemala', 'Pakistan', 'Tajikistan']",4
"['Milk', 'Meat (chicken, frozen)']",0.2696912885713214,['Tajikistan'],1
"['Milk', 'Meat (mutton)']",0.18287404977291125,"['Gambia', 'Rwanda', 'Tajikistan']",3
"['Milk', 'Tea (black)']",0.12414553580718209,['Tajikistan'],1
"['Milk', 'Oil (cotton)']",-0.2506322270320937,['Tajikistan'],1
"['Milk', 'Tea (green)']",-0.039176404252034724,['Tajikistan'],1
"['Milk', 'Wheat flour (first grade)']",0.026597999343652243,"['Tajikistan', 'Ukraine']",2
"['Milk', 'Wheat flour (high quality)']",-0.14130522209962856,['Tajikistan'],1
"['Milk', 'Wheat flour (local)']",-0.34284398322375964,['Tajikistan'],1
"['Potatoes', 'Eggs']",0.19737415436407607,"['Armenia', 'Egypt', 'Guatemala', 'Jordan', 'Kyrgyzstan', 'Tajikistan', 'Turkey', 'Ukraine', 'Yemen']",9
"['Potatoes', 'Oil (vegetable)']",0.19688428220758109,"['Armenia', 'Colombia', 'Guatemala', 'Jordan', 'Peru', 'Tajikistan', 'Yemen']",7
"['Potatoes', 'Sugar']",0.33331330549667065,"['Armenia', 'Azerbaijan', 'Colombia', 'Egypt', 'Guatemala', 'India', 'Jordan', 'Kyrgyzstan', 'Peru', 'Tajikistan', 'Turkey', 'Ukraine', 'Yemen']",13
"['Potatoes', 'Lentils']",0.3666836470464546,"['Armenia', 'Egypt', 'India', 'Jordan', 'Turkey', 'Yemen']",6
"['Potatoes', 'Tomatoes']",0.40596660839344645,"['Armenia', 'Colombia', 'Egypt', 'Guatemala', 'India', 'Jordan', 'Myanmar', 'Turkey', 'Yemen']",9
"['Potatoes', 'Meat (beef)']",0.27612151023020715,"['Armenia', 'Colombia', 'Egypt', 'Jordan', 'Kyrgyzstan', 'Myanmar', 'Tajikistan', 'Ukraine']",8
"['Potatoes', 'Carrots']",0.2841082061876752,"['Armenia', 'Colombia', 'Kyrgyzstan', 'Tajikistan', 'Ukraine']",5
"['Potatoes', 'Onions']",0.39098877931084663,"['Armenia', 'Guatemala', 'India', 'Jordan', 'Kyrgyzstan', 'Myanmar', 'Tajikistan', 'Turkey', 'Ukraine', 'Yemen']",10
"['Potatoes', 'Cabbage']",0.25069653818267196,"['Armenia', 'Colombia', 'Kyrgyzstan', 'Tajikistan', 'Ukraine']",5
"['Potatoes', 'Milk (non-pasteurized)']",0.4872354571616834,"['Azerbaijan', 'Kyrgyzstan']",2
"['Potatoes', 'Lentils (masur)']",0.3810036567774835,['India'],1
"['Potatoes', 'Oil (palm)']",0.27264060991632744,"['India', 'Myanmar']",2
"['Potatoes', 'Maize']",0.056775004222226595,"['Kyrgyzstan', 'Myanmar', 'Tajikistan']",3
"['Potatoes', 'Rice']",0.3737439441743102,"['Egypt', 'India', 'Kyrgyzstan', 'Tajikistan', 'Turkey', 'Ukraine']",6
"['Potatoes', 'Oil (groundnut)']",0.5120715392111925,"['India', 'Myanmar']",2
"['Potatoes', 'Garlic']",0.4076505787067967,"['Colombia', 'Egypt', 'Jordan', 'Myanmar', 'Turkey']",5
"['Potatoes', 'Onions (red)']",0.3423361127381027,"['Colombia', 'Egypt']",2
"['Potatoes', 'Onions (white)']",0.41648431042515255,"['Colombia', 'Egypt']",2
"['Potatoes', 'Salt']",0.31447353385274407,"['Colombia', 'Guatemala', 'Kyrgyzstan', 'Myanmar', 'Tajikistan', 'Turkey', 'Yemen']",7
"['Potatoes', 'Milk (pasteurized)']",-0.12544369697965288,"['Colombia', 'India', 'Jordan', 'Turkey']",4
"['Potatoes', 'Oil (sunflower)']",0.051451164357277396,"['Colombia', 'Egypt', 'India', 'Kyrgyzstan', 'Turkey', 'Ukraine']",6
"['Potatoes', 'Meat (chicken, frozen)']",0.4481576678113462,"['Egypt', 'Tajikistan']",2
"['Potatoes', 'Meat (mutton)']",0.3398241540292254,"['Kyrgyzstan', 'Tajikistan', 'Turkey']",3
"['Potatoes', 'Tea (black)']",0.42391387471375236,"['India', 'Kyrgyzstan', 'Tajikistan']",3
"['Potatoes', 'Oil (mustard)']",0.42367321437426203,['India'],1
"['Potatoes', 'Salt (iodised)']",-0.02126585963253788,['India'],1
"['Potatoes', 'Cucumbers']",0.3467216673903604,['Jordan'],1
"['Potatoes', 'Oil (cotton)']",0.1725045643721436,"['Kyrgyzstan', 'Tajikistan']",2
"['Potatoes', 'Wheat flour (first grade)']",0.2794658105235159,"['Kyrgyzstan', 'Tajikistan', 'Ukraine']",3
"['Potatoes', 'Wheat flour (high quality)']",0.2362374327757611,"['Kyrgyzstan', 'Tajikistan']",2
"['Potatoes', 'Wheat flour (local)']",0.006070832725213637,['Tajikistan'],1
"['Eggs', 'Meat (chicken)']",-0.5501553566161211,"['Armenia', 'Gambia', 'Guatemala', 'Jordan', 'Kyrgyzstan', ""Lao People's Democratic Republic"", 'Turkey']",7
"['Eggs', 'Oil (vegetable)']",0.40903119942807636,"['Armenia', 'Gambia', 'Guatemala', 'Indonesia', 'Iran  (Islamic Republic of)', 'Jordan', 'Tajikistan', 'Yemen']",8
"['Eggs', 'Sugar']",0.43517958565841874,"['Armenia', 'Bolivia', 'Egypt', 'Gambia', 'Guatemala', 'Indonesia', 'Iran  (Islamic Republic of)', 'Jordan', 'Kyrgyzstan', 'Lebanon', 'Pakistan', 'State of Palestine', 'Tajikistan', 'Turkey', 'Ukraine', 'Yemen']",16
"['Eggs', 'Pasta']",-0.4178245766391663,"['Armenia', 'Egypt', 'Guatemala', 'Lebanon', 'Turkey', 'Ukraine']",6
"['Eggs', 'Meat (beef)']",0.14099678378196517,"['Armenia', 'Egypt', 'Gambia', 'Indonesia', 'Jordan', 'Kyrgyzstan', 'Rwanda', 'Tajikistan', 'Ukraine']",9
"['Eggs', 'Carrots']",-0.1056928195658605,"['Armenia', 'Gambia', 'Kyrgyzstan', 'Philippines', 'Rwanda', 'Tajikistan', 'Ukraine']",7
"['Eggs', 'Onions']",0.15036261272454218,"['Armenia', 'Gambia', 'Guatemala', 'Jordan', 'Kyrgyzstan', 'Tajikistan', 'Turkey', 'Ukraine', 'Yemen']",9
"['Eggs', 'Cabbage']",0.023456444971061596,"['Armenia', 'Gambia', 'Kyrgyzstan', 'Lebanon', 'Philippines', 'Rwanda', 'Tajikistan', 'Ukraine']",8
"['Eggs', 'Apples (red)']",0.3687681495102463,"['Armenia', 'Gambia', 'Jordan', 'Rwanda', 'Turkey']",5
"['Eggs', 'Cucumbers (greenhouse)']",0.34036943394987323,"['Armenia', 'Lebanon', 'Rwanda', 'Turkey']",4
"['Eggs', 'Fish (fresh)']",-0.30545196923758106,"['Armenia', 'Philippines', 'Turkey']",3
"['Eggs', 'Milk (non-pasteurized)']",0.4293664445520294,['Kyrgyzstan'],1
"['Eggs', 'Beans (white)']",0.29743812418584453,"['Lebanon', 'Turkey', 'Yemen']",3
"['Eggs', 'Maize']",0.2790372024619122,"['Gambia', 'Kyrgyzstan', 'Rwanda', 'Tajikistan']",4
"['Eggs', 'Meat (beef, chops with bones)']",-0.14127276734954244,"['Bolivia', 'Guatemala', 'Philippines']",3
"['Eggs', 'Meat (chicken, whole)']",0.492922430126982,"['Bolivia', 'Jordan', 'Lebanon', 'Philippines', 'Ukraine']",5
"['Eggs', 'Rice']",0.30837471397444627,"['Egypt', 'Indonesia', 'Kyrgyzstan', 'Rwanda', 'Tajikistan', 'Turkey', 'Ukraine']",7
"['Eggs', 'Sweet potatoes']",-0.7274405740961132,"['Gambia', 'Philippines', 'Rwanda']",3
"['Eggs', 'Onions (red)']",-0.2254500372540198,"['Egypt', 'Philippines', 'Rwanda']",3
"['Eggs', 'Onions (white)']",0.11747077761062409,"['Egypt', 'Philippines', 'Rwanda']",3
"['Eggs', 'Salt']",0.3542138459177031,"['Gambia', 'Guatemala', 'Kyrgyzstan', 'Lebanon', 'Pakistan', 'State of Palestine', 'Tajikistan', 'Turkey', 'Yemen']",9
"['Eggs', 'Oil (sunflower)']",0.39931208621385045,"['Egypt', 'Kyrgyzstan', 'Lebanon', 'Turkey', 'Ukraine']",5
"['Eggs', 'Meat (chicken, frozen)']",0.12983007221925985,"['Egypt', 'Tajikistan']",2
"['Eggs', 'Meat (mutton)']",0.030203852015622562,"['Gambia', 'Kyrgyzstan', 'Rwanda', 'Tajikistan', 'Turkey']",5
"['Eggs', 'Potatoes (Irish)']",-0.44357136472901904,"['Gambia', 'Philippines', 'Rwanda']",3
"['Eggs', 'Milk (powder)']",-0.2845201910551454,"['Gambia', 'Guatemala', 'Lebanon']",3
"['Eggs', 'Rice (ordinary, second quality)']",-0.08567246752641858,"['Guatemala', ""Lao People's Democratic Republic""]",2
"['Eggs', 'Rice (ordinary, first quality)']",-0.4060302884678886,"['Guatemala', ""Lao People's Democratic Republic""]",2
"['Eggs', 'Tea (black)']",-0.36670432917030726,"['Kyrgyzstan', 'Tajikistan']",2
"['Eggs', 'Meat (chicken, broiler)']",0.6221334814917701,['Indonesia'],1
"['Eggs', 'Oil (olive)']",0.2876200702700044,"['Jordan', 'Turkey']",2
"['Eggs', 'Bread (pita)']",-0.40072799200397147,"['Jordan', 'Lebanon', 'Turkey']",3
"['Eggs', 'Oil (cotton)']",0.3898792341015165,"['Kyrgyzstan', 'Tajikistan']",2
"['Eggs', 'Tea (green)']",-0.20856926746167043,"['Kyrgyzstan', 'Tajikistan', 'Turkey']",3
